ID	P1	P2	P3
S1	36.7720969848168	115.501536614558	44.4162720560257
S2	-2.78363331430144	-8.92987015952125	-43.7681974748324
S3	-18.9021375282489	19.746437403999	-16.407891620784
S4	-20.1102958640529	-40.9817559644333	-22.0694256516551
S5	4.41972816062384	50.9376569757581	59.7404775429434
S6	4.38881251700535	-24.3703951700671	-51.7846841707732
S7	-28.8286741455816	-37.8274683513085	-17.8435132493114
S8	-15.1789746595409	-33.0391977879043	-14.8864525605833
S9	8.07892359658644	41.3405626122452	-23.7196683253503
S10	-7.98953589021393	65.4010618669141	-50.0751768672017
S11	-43.9287243715244	28.2796194284248	43.2415303793557
S12	-5.36957708186464	-7.80083830705274	87.011506874846
S13	-16.2698483935601	-26.0823504711681	-47.7721296900302
S14	-32.4569876214729	-34.0062518445231	-60.0057454834214
S15	-6.50205470173051	35.4597871415767	52.4891607701393
S16	17.1718540205285	-4.19908021488443	5.35240432237638
S17	-46.6372009708653	-44.3699373262218	19.0601394176957
S18	10.3589042937693	-64.2849845279106	-47.3953522279896
S19	11.9497209468875	18.6254278115086	55.6290095418929
S20	-35.6114672184803	-11.582654853273	-50.6259946885023
S21	2.58441596578802	69.1752273819508	-18.2560136221417
S22	-31.600545140619	-17.3343051383328	-36.1668188562292
S23	22.5282749641858	60.7856868474787	38.5665561225136
S24	17.3905782990294	144.403172294891	69.0912294689454
S25	0.63724642406442	27.1420501274129	83.5155376885465
S26	-6.52476173146645	49.6899916020921	-37.283544360135
S27	-40.5226222706581	-53.9345681454103	-47.3699095044539
S28	-22.2057564134217	-63.9871728490973	-46.4721720282186
S29	1.45094126447678	26.2406024855111	27.7408041323178
S30	-13.0576436657373	25.0589492291439	54.8558996221074
S31	54.6329022221171	1.75290122061628	-92.7981102473988
S32	4.65850140493594	73.8842295632434	84.3727603425604
S33	-1.12130821379056	83.5362295782025	122.089838085789
S34	12.4706013355474	153.732246760488	47.9843429372247
S35	-19.136302975791	32.7571898078721	34.0599434926883
S36	11.6971513769709	17.834007980168	-45.9570302420918
S37	15.0638998413536	117.933035816196	19.1872973637236
S38	-18.6501513482777	2.76030046405701	39.5071469048049
S39	14.0355784094779	33.4884818726873	61.230236009185
S40	-22.6317170970279	-37.8589923413241	-25.2558311572135
S41	11.0905609108498	11.6546921671002	84.0302022101564
S42	-13.6445654365402	-42.2557641562317	-89.6542394243843
S43	-4.8872291958138	37.6227455603262	-15.7170450959844
S44	-10.6170365466752	3.95924021467939	-115.492385010907
S45	-24.4466456933778	-34.3301380858633	-24.2996226427704
S46	43.1399001792915	-47.432398545835	-21.7069662370334
S47	-13.3611690094147	36.8564548707289	-15.7136884839818
S48	-6.52042736288136	-49.9896737770236	-12.8494269187201
S49	-10.4932949859322	47.757904807881	24.8920214922512
S50	37.6538375837572	13.9201563610798	20.2222956447157
S51	14.3129054179347	-116.498661413165	-95.9936612138029
S52	-0.981904036922207	-12.7531085378286	49.1280240195038
S53	55.0156366852765	52.4090021508445	47.1490199161091
S54	-3.85606806291981	4.47336368835536	-5.48023495115672
S55	3.35928760850701	9.21181191468276	32.3451039652138
S56	-39.0526084670251	-77.2694977539229	5.46073535745617
S57	23.8792391512513	-46.9068796385464	34.065435866902
S58	-15.6184088195969	38.1893530075574	32.7028159714012
S59	7.78339172178217	-30.1521525902933	-103.883095963171
S60	9.21130169160748	-6.92001530830604	23.3006951542263
S61	-13.539771080177	48.7388619159446	-71.0604164253052
S62	-20.0856317751972	-14.4893967497774	48.7027811841749
S63	28.8517419974617	-2.80029859156638	-39.4742257956161
S64	-8.24971625786691	-108.913946411669	-95.2639737723039
S65	-6.783656149628	-45.7642779688102	-9.09038553001451
S66	16.3681519434917	-9.54297666125718	-50.4040814658105
S67	-8.76256039217702	8.52122628230452	110.621463384768
S68	30.5652037657272	-97.6196687141638	-60.366323788129
S69	33.7754000586723	-43.2908429388814	-3.79761343411709
S70	1.34581287581272	36.2623719259958	36.1923753276652
S71	-6.2320020682143	-40.6733450616035	-1.06197320170564
S72	-15.4342385230697	-20.9015962614522	24.843402600659
S73	-14.2446683653299	-2.30047157655574	80.9317879434625
S74	1.42625946812968	61.4463504919699	-6.87382904849362
S75	-1.32913647796251	-29.7754653606368	-55.3837512799739
S76	7.62927958609541	-34.3440858632411	47.226678391633
S77	-27.2867194737697	-84.9818113576039	-44.549059508646
S78	-31.7849518564396	-37.1607760680001	12.3991571511511
S79	17.3878172808804	44.4800788763227	-28.7154976648027
S80	-0.929446175327444	45.504702246301	46.549680080921
S81	-32.1993771153627	-79.4832516093653	19.6824944131275
S82	20.8708520228833	43.1489167601027	32.0650971616453
S83	-30.9748044453808	-4.21448659195103	13.2814843110837
S84	-1.91487051294948	-64.2196638257649	68.7798303600749
S85	-5.46962649040211	-4.92594022721074	14.4567567975726
S86	-22.0326757784193	-32.8355710136598	-5.32665608784473
S87	2.93902513071459	26.5400959254109	5.07184160605452
S88	12.3438137990957	-17.778994282091	1.37091686891437
S89	32.5043130809598	-0.920542340766636	5.31731317778245
S90	-43.6724633605894	-34.8461448907145	-26.3276196526895
S91	2.04124439500195	22.3661313820388	3.45725659539622
S92	-34.4525611275021	-30.2447073741144	-3.54353774866479
S93	48.9284535040326	64.5386573874619	-19.0060418053007
S94	6.92848772759877	-28.9263159326008	-28.9382186146754
S95	1.99318266192698	-21.8635706629308	-1.81892318542668
S96	8.21329206139493	-20.2521428483058	23.5380724686772
S97	13.0640987592674	-50.4327948079991	-82.925378794897
S98	-10.6483200628115	-33.7596248445734	-38.024998316511
S99	-20.6262849099997	-21.0263691783934	9.47505596095428
